umap1,umap2,sentiment,rating,main_category
-0.95330495,6.379904,positive,5.0,Computers
1.2346859,4.249541,neutral,3.0,GPS & Navigation
2.2876115,3.1784124,negative,1.0,Apple Products
0.77341276,5.269928,negative,1.0,All Electronics
2.0068135,2.9665024,positive,4.0,All Beauty
-0.8601938,4.7587013,negative,1.0,Computers
1.8523144,5.153852,neutral,3.0,All Electronics
-1.2541951,6.9093933,neutral,3.0,Computers
0.7616743,4.3193817,positive,5.0,All Electronics
0.2917018,3.2036705,neutral,3.0,All Electronics
2.688959,1.8908482,positive,5.0,All Electronics
1.8218762,7.1169906,neutral,3.0,Amazon Devices
-0.41547108,5.043181,negative,1.0,Computers
1.059525,5.0849795,negative,1.0,All Electronics
3.3531466,7.337714,positive,5.0,All Beauty
1.985301,3.0950844,neutral,3.0,All Electronics
1.0888616,4.6131215,negative,1.0,Amazon Devices
0.80340815,5.931198,positive,5.0,Camera & Photo
3.3543484,6.472333,positive,5.0,
0.14658035,3.2011478,neutral,3.0,Computers
2.4634778,2.207705,neutral,3.0,Home Audio & Theater
-3.9467003,5.9807,negative,1.0,
1.8900776,6.4090796,negative,2.0,Cell Phones & Accessories
1.7910442,5.3093414,negative,1.0,All Electronics
3.8260875,6.7722,positive,5.0,Computers
2.9849646,8.475226,positive,4.0,Cell Phones & Accessories
3.3014605,8.005207,positive,5.0,Computers
-1.1396259,8.367044,neutral,3.0,Camera & Photo
0.0068416824,4.1705856,positive,5.0,Industrial & Scientific
-1.356514,6.4856873,negative,1.0,Computers
-3.3987648,6.8296275,positive,5.0,Computers
1.5771422,1.5356493,neutral,3.0,Car Electronics
-0.8814897,5.317597,negative,2.0,Computers
3.9690247,7.3432803,neutral,3.0,Camera & Photo
2.3768556,2.7059567,negative,2.0,All Electronics
1.0839169,1.8648793,neutral,3.0,Home Audio & Theater
0.54285634,4.4194207,negative,2.0,Computers
2.7028544,5.1946025,positive,5.0,Tools & Home Improvement
-0.9706648,3.3196597,positive,5.0,Home Audio & Theater
0.93635195,2.3708756,positive,5.0,All Electronics
2.0224648,2.5494647,neutral,3.0,Cell Phones & Accessories
0.0073155104,7.471891,positive,5.0,Computers
1.275685,6.914919,positive,4.0,Amazon Devices
2.6275206,4.523843,positive,5.0,
1.2122761,5.460786,positive,4.0,Computers
1.9522865,1.6843731,negative,1.0,Home Audio & Theater
1.2631485,6.928435,positive,5.0,Computers
1.7601597,5.696371,neutral,3.0,Computers
-3.565989,5.674652,neutral,3.0,Computers
-0.34128302,7.8451715,negative,2.0,All Electronics
2.6518204,8.5134115,negative,1.0,Computers
-0.9510472,5.0425754,neutral,3.0,Computers
2.1779757,5.905522,negative,1.0,Home Audio & Theater
1.1350825,2.122216,positive,5.0,Home Audio & Theater
0.9314096,4.8245306,negative,1.0,Computers
0.6135781,5.4989996,negative,1.0,All Electronics
-1.5067943,6.1859355,neutral,3.0,Computers
-1.1761554,6.0935674,negative,1.0,Computers
1.6494946,5.409451,negative,1.0,All Electronics
0.8330708,5.4918733,neutral,3.0,Camera & Photo
0.21042098,4.6512294,neutral,3.0,All Electronics
2.9151266,7.425905,negative,1.0,All Electronics
-1.1167958,3.9635496,positive,5.0,Camera & Photo
1.3942039,4.058762,negative,1.0,Cell Phones & Accessories
-1.31002,3.4476287,neutral,3.0,Amazon Devices
